State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
NY,2989032,3093838,3238540,3305923,3382126,3664673,3867170,3955831,4052442,4200652,4303439,4251263,4269847,4419080,4128073,3925249,4224994,4195220,4195842,3972800,3863274,3673745,3529658,3353921,3403950,3508528,3554662,3658508,3748830,3771097,3735420,3672144,3755436,3779999,3715646,3763256,3914760,3985274,3910799,4030405,4109201,3992657,4001875,4135987,4235201,4127829,3829396,3955435,3873097,3698530,3728584,3615316,3504433,3626917,3752515,3750534,3685544,3684137
OH,2994711,2898735,3036395,3113988,3215365,3369016,3539868,3543981,3710053,3856077,3932645,3871518,4125705,4218370,4198106,3979902,4208900,4198403,4275771,4261990,3950811,3848330,3507765,3444507,3646301,3622387,3591701,3708183,3844211,3953736,3770087,3767045,3804977,3855966,3970867,4040295,4129487,4111640,4011629,4168738,4202425,3948907,3893635,3960004,3994534,4025021,3869471,4047281,3998405,3666322,3830947,3798275,3658632,3734502,3834273,3745758,3693000,3643714
OK,580906,582692,692041,768636,802725,774367,744879,763519,843549,886447,939226,965680,1019204,1024152,1064042,1070091,1162766,1224894,1266603,1322376,1213993,1248960,1318075,1316946,1322507,1297798,1203182,1256837,1291311,1325070,1382653,1315793,1330177,1388934,1393746,1368422,1428665,1434069,1436479,1417383,1473734,1494608,1446465,1475978,1464767,1515574,1555092,1571276,1581494,1492242,1582375,1588072,1563998,1622927,1685554,1632845,1633797,1643837
OR,470579,485140,509385,527201,578504,591834,630433,646405,691620,733064,752924,796879,837435,854962,837588,867638,885915,885093,951139,977131,945029,939039,905941,868020,936508,913873,895457,940455,991005,999506,978110,1009616,1001923,1019599,1033185,1040836,1085249,1096392,1107618,1132885,1116714,1027577,1023215,1001580,999636,1036101,1071726,1061979,1046619,1012758,981312,1007805,978245,996244,992956,970883,987666,1032245
PA,3253214,3146037,3255423,3391013,3588928,3731977,3831882,3816103,3959290,3982119,4106916,4044955,4187795,4294356,4124018,3913887,4164173,4127190,4128436,4249658,3996299,3809830,3363346,3377212,3604664,3434064,3378296,3551982,3713946,3738812,3635723,3572793,3675538,3746347,3820034,3877821,3911513,3875116,3715245,3752079,3925984,3833064,3893246,3942917,3989867,4012421,3883800,3960358,3940341,3625449,3756486,3729272,3621551,3828188,3955081,3872177,3758844,3807664
RI,187082,172905,180862,180600,178156,173485,175290,193450,197936,210703,222536,235513,236763,231946,215591,206221,215504,223147,212617,201339,185615,175209,174887,180973,192232,204275,206204,215862,223279,216864,212689,218147,244586,201720,238889,227806,218544,216194,225042,224362,202476,201805,200789,216040,213931,207316,198412,198296,194315,194840,195504,185911,183916,199075,204879,203300,186147,183872
SC,489216,507093,540137,561023,560524,554319,593446,603092,654373,699204,745729,779638,834960,886118,858642,840874,964613,1000303,994484,984487,997901,1002177,973134,1006503,1069330,1076310,1142219,1178512,1235317,1243836,1262871,1290130,1306126,1361656,1362611,1415700,1453472,1500752,1547408,1549498,1595031,1547170,1586193,1591372,1694963,1667703,1677452,1670755,1637749,1573632,1653892,1611608,1567378,1602238,1642098,1660226,1652020,1643615
SD,128835,131556,136645,140408,143784,140065,146362,145670,153321,159805,168792,170183,179190,176823,172589,181948,195374,196832,205651,204965,190687,178760,191238,185488,188704,194819,195032,195204,205416,214315,217134,213566,216362,229490,236048,239668,252919,242614,239811,245317,258942,251542,270799,275112,284389,302070,306930,330556,353290,363075,379018,378971,370842,390362,393982,385866,383002,384857
TN,962617,978121,1015575,1062187,1088445,1137343,1231562,1236057,1284591,1340773,1365610,1371116,1473992,1614086,1578503,1614225,1720063,1779374,1762976,1800371,1724916,1693019,1611851,1660254,1737534,1711499,1700016,1712673,1777007,1829468,1791963,1790944,1833618,1865782,1926862,1944618,2050178,2027556,2107975,2148027,2180828,2196527,2221804,2240357,2269820,2315375,2314365,2343999,2283214,2084442,2251551,2200767,2085371,2137896,2205494,2180064,2208803,2166502
TX,4416216,4447880,4640675,4894089,5012683,5212184,5557255,5879030,6268911,6656323,6921781,7233774,7623194,8241366,8093721,7511439,7835920,8475779,8941144,9308055,9385670,9147556,8471394,8406461,8946242,9011817,9007599,9240071,9811771,10093725,10272320,10278273,10445158,10554352,10879574,11070854,11832246,12237335,12418135,12077034,12420851,12200928,12508396,12295541,12333678,11858030,11864993,11774259,11251973,10883320,11681851,11885388,11944734,12723430,12733681,12886742,13089570,13365864
UT,303229,300811,310319,311815,334525,339504,350834,345267,365623,395838,397019,415199,428177,457776,473666,480756,510233,486089,510695,526397,504574,478203,467638,491810,504008,500434,470786,462389,526305,537620,535798,565520,551616,577314,587193,636867,666149,680514,703879,694356,738703,708430,688303,698797,729507,759926,778574,780947,768023,742220,757821,795887,791417,832657,800066,803439,812029,828671
VA,851297,854600,883702,939691,969280,1046094,1116959,1137190,1197529,1237230,1279028,1322363,1375395,1435070,1382349,1358994,1443835,1486224,1515163,1568370,1530854,1514259,1501050,1559137,1636831,1670500,1756943,1847217,1921950,1965088,1963516,1970636,1995924,2063530,2086792,2151334,2208529,2204590,2230669,2288910,2385532,2321711,2352852,2425498,2549900,2622808,2566729,2642956,2544421,2429308,2491754,2387547,2348180,2417016,2435984,2374498,2332178,2302571
VT,68554,71941,74781,74605,72070,83090,90907,94557,100490,106584,113222,116968,123917,126434,116837,114356,131790,129325,134455,131782,125793,120672,115117,123272,132836,134538,128263,137510,144630,142529,126145,132567,138294,136281,135888,133145,139994,144779,136240,134530,147384,147682,148315,150996,161071,159602,156465,154782,146366,156678,156049,151927,130720,137226,140498,140934,135834,134794
WA,807277,823383,860062,900608,961435,996454,1058961,1112762,1210234,1296162,1294145,1320979,1462402,1498556,1494231,1458166,1506955,1524554,1616207,1667783,1636821,1762292,1667861,1624957,1724697,1724684,1758552,1810437,1947741,2013008,2046391,2037067,2072251,2069959,2060465,2109349,2093829,2122682,2194178,2279810,2210207,1990431,1846010,1858449,1919112,1948752,2055701,2048782,2041217,2031298,2042409,2069319,2044291,2045483,2021410,2009968,2071682,2096886
WI,854308,877011,917963,940067,974857,1030533,1091996,1137123,1184174,1248392,1289050,1293197,1287690,1354483,1341660,1341892,1372938,1437713,1501615,1468965,1463981,1421298,1404352,1419852,1487633,1501131,1425549,1404088,1510126,1516590,1484602,1525891,1523566,1585889,1634391,1697163,1761984,1768369,1748093,1840348,1872841,1849653,1890779,1864997,1889502,1971998,1876662,1901625,1894497,1763916,1808493,1792944,1733140,1828843,1887187,1809982,1793907,1805766
WV,617977,648667,656276,689629,729022,753923,771519,739838,807461,796648,795739,779534,828980,845774,841728,790364,826694,819746,807745,823762,788175,769650,713139,681588,717840,665396,668346,681320,726601,748561,704399,674052,687505,710783,736902,738802,711148,709110,736402,718497,738131,732417,756961,713242,736387,737453,760598,789736,776191,706183,751374,738120,730669,751405,781214,768621,762028,756420
WY,141355,154474,173407,163153,163391,172698,180286,205150,225588,250536,255480,268453,286868,283507,278885,277367,300313,325289,354800,378316,362253,352782,363372,329172,351234,357215,335938,363821,370702,382037,399356,388320,421599,407022,408146,403188,415227,414905,421015,425313,427937,438344,438700,461304,450718,456025,480339,523564,538334,524112,541763,558021,551135,540274,537554,507971,505739,512235
US,45033606,45684153,47773067,49605630,51766732,53965864,56960904,58916870,62401694,65578920,67720114,69163993,72677208,75723857,73914525,71953031,75966653,77946963,79978066,80836123,78047744,76093930,73006442,72879382,76510942,76406632,76592009,78960216,82711222,84731901,84455290,84379011,85731655,87294876,89010843,90994772,94005089,94656462,94933435,96525795,98694694,96037904,97540330,97833112,100010334,100097668,99354258,100870038,98724712,93965172,97515551,96852601,94367771,97099401,98267257,97364113,97230097,97621515
