State,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Energy_Type
AZ,DFTCB,16236,18123,17582,20509,20522,20553,23014,21466,26770,27399,28534,30524,44134,59967,55530,59084,58868,73870,83787,69739,62730,58193,48109,52057,55902,58886,65105,59630,60051,65271,66234,59891,66623,82550,80606,88025,101190,104240,108627,117361,115935,125635,115963,121706,130960,150863,155747,152293,150478,138485,144120,150829,145634,145771,142857,141720,148816,151876,Distillate Fuel Oil
AZ,HLTCB,2767,2898,3754,3871,3958,4045,2846,4082,4168,4616,4959,5035,5412,5153,5550,4167,3405,3497,4232,6488,5871,4769,6118,6168,5581,6402,6350,7269,6389,6004,5577,6278,7688,6741,6884,7160,5972,4494,5115,6901,6306,6234,5764,6818,5873,5278,5896,5849,9468,7706,7966,9031,6554,7565,7905,7553,8666,8465,HGL
AZ,HYTCB,32169,31246,30861,30834,30182,46400,54380,52243,59309,63451,64580,69610,70406,74774,77275,75484,78612,68843,72741,75123,102171,71114,73334,152355,163692,146123,151060,105592,80385,82171,77158,70292,68472,69040,75982,85470,95276,123060,111863,99794,85221,78774,75557,71634,69843,64094,67379,65211,71795,62731,64606,89135,63918,56432,58185,60906,66173,62942,Hydroelectric Power
AZ,JFTCB,25325,27428,30281,31014,32458,30065,32417,38384,44162,40765,36391,37050,38219,39858,39849,39039,36798,39602,40987,43360,43937,41601,42564,39107,44211,39421,42580,46404,47010,45292,47306,53729,46426,44237,41933,43015,44912,45232,49197,54588,59156,56211,58649,60388,46810,45463,43776,37490,38348,26569,20903,21530,21615,20964,21498,21835,24912,23687,Jet Fuel
AZ,MMTCB,64943,67298,71849,74770,76546,78779,83231,85372,93164,105163,113158,120592,134253,146167,140347,145530,151998,161607,170362,168576,160684,161922,165157,173323,181709,189886,198794,206289,211253,213525,206581,213235,218292,224190,234914,243144,255596,252537,272527,284083,292046,302282,317190,320210,337967,336535,344711,343674,316030,303015,300020,294277,291974,298095,298747,313002,323979,325455,Motor Gas excl Ethanol
AZ,NNTCB,140275,159093,163461,169533,174623,166063,174448,169085,189965,210332,204383,225898,241355,226325,204955,164346,180181,176449,186366,180580,173970,192208,142323,120418,126844,137315,105103,121301,128594,151468,130781,128178,133771,118159,139733,127945,125265,137588,161086,167770,208137,244424,255247,275650,356264,329302,365230,401992,409966,377504,336208,293134,339043,340375,315916,365313,373916,335978,Natural Gas
AZ,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12005,105540,140532,243215,83080,217965,263104,268149,231601,242182,283526,302902,307623,317888,317843,316839,299966,322260,297872,293158,269327,250568,280920,305726,320692,326102,327292,334636,328423,338044,340153,338636,338246,Nuclear Electric Power
AZ,P1TCB,11288,10429,11350,13364,12682,11770,17282,18093,19619,22399,29593,24664,29007,28613,32973,21573,20716,23626,26824,26665,19640,16335,14507,15149,21099,21405,21545,21596,22657,21606,21367,20262,25551,20341,22118,25746,21689,23498,32504,31364,28819,22106,28427,27950,36495,35489,32381,31974,27842,23026,26062,26563,23662,22290,22690,23649,24953,22424,Other Petroleum
AZ,RETCB,36181,35083,34533,34861,34271,50095,58060,56423,63456,67840,68919,74136,75189,79348,82058,80897,84428,75681,79870,83414,120006,92583,94968,175999,188831,171680,175103,123114,98749,101498,94753,88774,87528,86942,94235,106203,114081,143511,128116,116145,102228,92523,88026,84185,82440,92173,95419,97237,111605,95867,101018,128667,114897,119057,138101,149097,159710,169583,Total Renewables
AZ,RFTCB,785,597,926,713,1310,513,432,566,740,1020,663,3357,10070,46094,51505,37358,35575,48948,31180,30968,8419,1629,2000,3365,3423,1107,255,766,343,959,174,1257,657,1193,1257,509,674,91,123,250,431,1585,183,0,251,135,112,136,0,0,0,41,0,0,0,0,0,0,Residual Fueal
CA,BMTCB,82098,83506,86898,93022,98436,97488,100673,101885,110274,116253,116839,119221,127646,130122,134723,127489,144760,151984,160261,168373,115610,133092,127114,148644,165871,167092,129117,157927,169036,235903,222587,219221,226570,193993,195852,181972,175098,158854,146909,155665,164105,164118,171469,205789,228393,226037,219639,225339,230230,237594,290583,291483,285560,298382,302638,279884,272544,272238,Biomass
CA,CLTCB,35903,59106,39681,46127,53723,63693,51515,53949,57011,60031,61812,51015,47452,66956,60670,56405,66630,75109,67892,68565,66170,78401,69415,32022,37243,45264,42519,44951,50824,66427,84160,89519,91515,84669,84616,84323,80324,82651,66157,69547,70012,67839,70010,69469,68909,67422,67017,66495,63050,52403,54972,55264,43832,38151,39486,30967,32077,33663,Coal
CA,DFTCB,155427,160838,173939,187614,204623,204484,218770,221865,224794,226549,228462,276030,268459,302135,254992,246600,266843,301471,350747,389528,362766,393320,391811,396640,439303,416709,434940,398389,477383,468973,449885,436039,403033,378540,421283,425152,428801,463409,456943,481512,543818,566629,521263,480299,547027,563775,576268,572755,522482,506838,528546,540220,517964,532732,559912,566117,559427,577296,Distillate Fuel Oil
CA,HLTCB,33896,34364,38820,41904,41745,42094,37954,43267,46731,56334,57893,60083,64605,69350,73850,69172,68448,61132,69553,83908,69673,61824,58467,58672,73521,73277,72105,80729,82446,89970,71952,67505,75334,59774,65448,53620,39643,32373,40787,44717,45732,39842,52673,53794,55010,46817,45173,43332,60859,61047,63386,63380,55452,54922,53600,53570,57801,55708,HGL
CA,HYTCB,187705,163670,241087,265551,231188,319052,273247,368007,282561,422243,399628,408830,329587,402618,484740,417309,240578,148707,385489,351170,423618,311124,525065,598435,450580,331348,433077,255937,242347,321318,247490,229144,208571,417437,237398,495318,462729,419290,505243,416573,391043,263923,316794,368253,341956,396279,476582,270107,237755,272187,326152,413488,255384,226643,157213,128681,267194,390292,Hydroelectric Power
